City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chokurdakh,70.6333,147.9167,-4.25,97,100,7.83,RU,1675231945
1,zhangye,38.9342,100.4517,26.71,38,94,1.03,CN,1675231946
2,ivdel,60.6911,60.4206,19.99,93,81,4.56,RU,1675231947
3,puerto ayora,-0.7393,-90.3518,75.54,91,70,4.94,EC,1675231948
4,vaasa,63.096,21.6158,26.62,93,100,3.44,FI,1675231950
5,husavik,66.0449,-17.3389,28.31,95,100,9.55,IS,1675231950
6,bluff,-46.6,168.3333,61.02,93,100,9.78,NZ,1675231951
7,shakawe,-18.3667,21.85,67.68,93,100,3.83,BW,1675231951
8,albany,42.6001,-73.9662,19.36,62,98,2.19,US,1675231818
9,new norfolk,-42.7826,147.0587,65.71,32,48,4.0,AU,1675231827
10,cidreira,-30.1811,-50.2056,73.94,92,0,1.92,BR,1675231953
11,iqaluit,63.7506,-68.5145,-15.07,76,75,16.11,CA,1675231954
12,talnakh,69.4865,88.3972,4.21,95,100,11.05,RU,1675231955
13,punta arenas,-53.15,-70.9167,53.71,66,75,29.93,CL,1675231955
14,bubaque,11.2833,-15.8333,76.89,51,13,12.75,GW,1675231956
15,waipawa,-41.4122,175.5153,66.61,84,100,11.72,NZ,1675231956
16,manitouwadge,49.1215,-85.8403,-21.84,100,75,0.72,CA,1675231957
17,luena,-11.7833,19.9167,62.73,90,100,0.78,AO,1675231958
18,hithadhoo,-0.6,73.0833,81.09,74,15,12.1,MV,1675231699
19,bengkulu,-3.8004,102.2655,82.47,73,100,9.8,ID,1675231959
20,mataura,-46.1927,168.8643,67.41,81,100,2.21,NZ,1675231960
21,karaton,-6.3424,106.1045,85.78,58,98,5.84,ID,1675231961
22,ushuaia,-54.8,-68.3,48.25,89,100,9.06,AR,1675231961
23,port elizabeth,-33.918,25.5701,75.09,86,20,14.97,ZA,1675231962
24,ancud,-41.8697,-73.8203,47.61,89,0,2.8,CL,1675231963
25,dikson,73.5069,80.5464,-7.47,90,52,7.85,RU,1675231669
26,kloulklubed,7.0419,134.2556,84.7,82,75,21.63,PW,1675231920
27,thompson,55.7435,-97.8558,-30.84,75,40,3.44,CA,1675231964
